-0.000000, 0.000000
-173.648178, 979.904428
-347.296355, 1950.002206
-520.944533, 2910.293334
-694.592711, 3860.777812
-868.240888, 4801.455640
-1041.889066, 5732.326818
-1215.537244, 6653.391346
-1389.185421, 7564.649224
-1562.833599, 8466.100452
-1736.481777, 9357.745030
-1910.129954, 10239.582958
-2083.778132, 11111.614236
-2257.426310, 11973.838864
-2431.074487, 12826.256842
-2604.722665, 13668.868170
-2778.370843, 14501.672848
-2952.019020, 15324.670876
-3125.667198, 16137.862254
-3299.315376, 16941.246982
-3472.963553, 17734.825060
-3646.611731, 18518.596488
-3820.259909, 19292.561266
-3993.908086, 20056.719394
-4167.556264, 20811.070872
-4341.204442, 21555.615700
-4514.852619, 22290.353878
-4688.500797, 23015.285406
-4862.148975, 23730.410284
-5035.797152, 24435.728512
-5209.445330, 25131.240090
-5383.093508, 25816.945018
-5556.741685, 26492.843296
-5730.389863, 27158.934924
-5904.038041, 27815.219902
-6077.686218, 28461.698230
-6251.334396, 29098.369908
-6424.982574, 29725.234936
-6598.630751, 30342.293314
-6772.278929, 30949.545042
-6945.927107, 31546.990120
